,order,family,genus,species,plant_symmetry,infloresence,,Plant symmetry,location_number,primary_check,
common_blue_bell,asparagales,asparagaceae,hyacimthoides,spp,R,C,,,C0,liz,
geranium,geraniales,geraniaceae,pelargonium,spp,BL,D,,,C0,liz,
leopards_bane,asterales,asteraceae,doronicum,spp,R,B,,,C0,liz,
wallflower,brassicales,brassicaceae,erysimum,spp,R,C,,,C0,liz,
hellbore,ranunculales,ranunculaceae,helleborus,spp,R,D,,,C1,,
horseshoe_chesnut,sapindales,sapindaceae,aesculus,hippocastanum,BL,C,,,C1,,
red_robin,rosales,rosaceae,photinia,spp,R,D,,,C1,,
red_valerian,dipsacales,caprifoliaceae,centranthus,ruber,BL,A,,,C10,,
herb_robert,geraniales,geraniaceae,geranium,robertianum,R,A,,,C2,,
lavender,laminales,lamiaceae,lavandula,stoechas,BL,D,,,C2,,
purple_toadflax,laminales,phantaginaceae,linaria,purpurea,BL,C,,,C2,,
red_valerian,dipsacales,caprifoliaceae,centranthus,ruber,BL,A,,,C2,,
thyme,laminales,lamiaceae,thyme,vulgaris,BL,D,,,C2,,
purple_toadflax,laminales,phantaginaceae,linaria,purpurea,BL,C,,,C3,,
catmint,lamiales,lamiaceae,nepeta,spp,BL,D,,,C4,,
herb_robert,geraniales,geraniaceae,geranium,robertianum,R,A,,,C4,,
lily of the incas,lilales,alstroemeriaceae,alstroemeria,spp,BL,D,,,C4,,
oregano,lamiales,lamiaceae,origanum,spp,BL,D,,,C4,,
yarrow,asterales,asteraceae,achillea,millefolium,R,B,,,C4,,
daisy,asterales,asteraceae,bellis,perennis,BR,B,,,C5,,
oregano,lamiales,lamiaceae,origanum,spp,BL,D,,,C5,,
st_john_wort,malphighiales,hypericaceae,hypericum,calycinum,R,A,,,C5,,
bell_flower,asterales,campanulaceae,campanula,spp,R,C,,,C6,,
cypress spurge,malpighiales,euphorbiaceae,euphorbia,cyparissias,BR,D,,,C6,,
daisy,asterales,asteraceae,bellis,perennis,BR,B,,,C6,,
rose_campion,caryophyllales,caryophyllaceae,silene,coronaria,R,D,,,C6,,
daisy,asterales,asteraceae,bellis,perennis,BR,B,,,C7,,
morning_glory,solanales,convolvulaceae,convolvulus,spp.,R,A,,,C7,,
oregano,lamiales,lamiaceae,origanum,spp,BL,D,,,C7,,
yarrow,asterales,asteraceae,achillea,millefolium,R,B,,,C7,,
daisy,asterales,asteraceae,bellis,perennis,BR,B,,,C8,,
oregano,lamiales,lamiaceae,origanum,spp,BL,D,,,C8,,
penstemon,lamiales,plantaginaceae,penstemon,spp,BL,C,,,C8,,
yarrow,asterales,asteraceae,achillea,millefolium,R,B,,,C8,,
oregano,lamiales,lamiaceae,origanum,spp,BL,D,,,C9,,
oxeye_daisy,asterales,asteracea,leucanthemum,vulgare,R,B,,,C9,,
wild_wall_rocket,brassicales,brassicaceae,diplotaxis,tenuifolia,R,C,,,C9,,
basket_of_gold,brassicales,brassicaceae,aurinia,saxatilis,R,C,,,L0,,
