sample_date,collector_name,location,location_number,time_code,sample_start,sample_end,weather,wind (km/hr),air_temp,shade_coverage,observation_id,pollinator,insect_order,insect_family,insect_genus,insect_species,plant_host,plant_order,plant_family,plant_genus,plant_species,plant_color,plant_pattern,Photo reference #,Notes (additional observations),,name_primary,name_secondary,final
2022-07-08,"Keegan, Parsa",Library,L4,E,14:02,14:26,cloudy,13,21,mostly_shade,L4BB1E,BB,hymenoptera,apidae,bombus,bifarius,rose_campion,caryophyllales,caryophyllaceae,silene,coronaria,pink,solid,,,,Liz,,Liz
2022-06-29,"Jen,Aldona",Student_Union,S2,M,10:47,11:12,cloudy,12,17,mostly_shade,S2BB1M,BB,hymenoptera,apidae,bombus,bifarius,slender_vervian,lamiales,verbenaceae,verbena,rigida,purple,solid,,,,Liz,,
2022-06-29,"Jen,Aldona",Student_Union,S2,M,10:47,11:12,cloudy,12,17,mostly_shade,S2BB2M,BB,hymenoptera,apidae,bombus,bifarius,forget_me_not,boraginales,boraginaceae,myosotis,syleatica,blue,striped,,,,Liz,,
2022-06-29,"Jen,Aldona",Student_Union,S2,M,10:47,11:12,cloudy,12,17,mostly_shade,S2BB3M,BB,hymenoptera,apidae,bombus,bifarius,rocket_larkspur,ranunculales,ranunculaceae,delphinium,spp,purple,solid,,,,Liz,,
2022-06-29,"Jen,Aldona",Student_Union,S2,M,10:47,11:12,cloudy,12,17,mostly_shade,S2BB4M,BB,hymenoptera,apidae,bombus,bifarius,slender_vervian,lamiales,verbenaceae,verbena,rigida,purple,solid,,,,Liz,,
2022-06-29,"Jen,Aldona",Student_Union,S2,M,10:47,11:12,cloudy,12,17,mostly_shade,S2BB5M,BB,hymenoptera,apidae,bombus,bifarius,forget_me_not,boraginales,boraginaceae,myosotis,syleatica,blue,striped,,,,Liz,,
2022-06-29,"Jen,Aldona",Student_Union,S2,M,10:47,11:12,cloudy,12,17,mostly_shade,S2BB6M,BB,hymenoptera,apidae,bombus,bifarius,slender_vervian,lamiales,verbenaceae,verbena,rigida,purple,solid,,,,Liz,,
2022-06-29,"Keegan, Jen, Asuma",Student_Union,S2,A,11:57,12:22,cloudy,9,16,mostly_shade,S2BB1A,BB,hymenoptera,apidae,bombus,bifarius,slender_vervian,lamiales,verbenaceae,verbena,rigida,purple,solid,,,,Liz,,
2022-06-29,"Keegan, Jen, Asuma",Student_Union,S2,A,11:57,12:22,cloudy,9,16,mostly_shade,S2BB2A,BB,hymenoptera,apidae,bombus,bifarius,slender_vervian,lamiales,verbenaceae,verbena,rigida,purple,solid,,,,Liz,,
2022-06-29,"Keegan, Jen, Asuma",Student_Union,S2,A,11:57,12:22,cloudy,9,16,mostly_shade,S2BB3A,BB,hymenoptera,apidae,bombus,bifarius,slender_vervian,lamiales,verbenaceae,verbena,rigida,purple,solid,,,,Liz,,
